Corruption Perceptions Index 2018: Score timeseries since 2012,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Country,ISO3,Region,CPI score 2018,Rank 2018,Sources 2018,Standard error 2018,CPI score 2017,Rank 2017,Sources 2017,Standard error 2017,CPI score 2016,Sources 2016,Standard error 2016,CPI score 2015,Sources 2015,Standard error 2015,CPI score 2014,Sources 2014,Standard error 2014,CPI Score 2013,Sources 2013,Standard error 2013,CPI Score 2012,Sources 2012,Standard error 2012
Myanmar,MMR,AP,29,132,7,3.94,30,130,7,3.91,28,8,3.69,22,7,2.82,21,7,2.87,21,6,3.9,15,4,3.7
Paraguay,PRY,AME,29,132,6,3.05,29,135,6,3.1,30,6,2.68,27,5,2.85,24,5,2.95,24,5,3.1,25,5,2.9
Guinea,GIN,SSA,28,138,6,2.67,27,148,7,2.37,27,5,2.54,25,6,3.16,25,7,3.21,24,7,3.6,24,7,2.7
Iran,IRN,MENA,28,138,7,2.89,30,130,7,3.51,29,7,2.47,27,6,3.28,27,6,4.72,25,6,3.9,28,6,4.6
Lebanon,LBN,MENA,28,138,7,2.28,28,143,7,2.11,28,7,2.5,28,6,3.22,27,6,3.37,28,6,3.3,30,6,2.3
Mexico,MEX,AME,28,138,9,1.83,29,135,9,1.69,30,8,1.56,31,8,3.02,35,8,1.66,34,9,1.8,34,9,1.7
Papua New Guinea,PNG,AP,28,138,6,2.47,29,135,6,2.55,28,5,3.01,25,5,4.22,25,5,4.16,25,5,4.2,25,5,4.2
Russia,RUS,ECA,28,138,9,2.51,29,135,9,2.5,29,9,2.73,29,8,2.52,27,8,2.61,28,9,2.3,28,9,2.2
Comoros,COM,SSA,27,144,4,9,27,148,4,8.87,24,3,12.81,26,3,8.76,26,3,8.75,28,3,7.5,28,3,7.5
Guatemala,GTM,AME,27,144,7,2.56,28,143,7,2.19,28,6,2.58,28,6,3.46,32,6,2.96,29,6,2.6,33,6,2.7
Kenya,KEN,SSA,27,144,9,1.82,28,143,9,1.94,26,9,1.72,25,8,3.02,25,8,2.98,27,8,2.7,27,8,2.2
Mauritania,MRT,SSA,27,144,6,2.95,28,143,6,2.41,27,5,3.62,31,5,5.07,30,5,4.23,30,5,4.1,31,5,3.5
Nigeria,NGA,SSA,27,144,9,2.03,27,148,9,1.97,28,9,1.98,26,8,2.24,27,8,2.82,25,9,3.1,27,9,2.7
Bangladesh,BGD,AP,26,149,8,2.63,28,143,8,3.19,26,7,4.13,25,7,4.3,25,7,4.23,27,7,4.1,26,7,4.1
Central African Republic,CAF,SSA,26,149,5,1.14,23,156,5,3.28,20,4,4.04,24,4,1.44,24,4,1.33,25,4,5.4,26,4,2.4
Uganda,UGA,SSA,26,149,9,2.13,26,151,9,2.11,25,9,2.24,25,8,3.19,26,8,3.03,26,8,3.3,29,8,2.2
Azerbaijan,AZE,ECA,25,152,6,4.09,31,122,7,5.64,30,7,5.13,29,6,3.25,29,6,3.02,28,6,3.5,27,6,2.5
