Country,ISO3,Region,CPI Score 2018,Rank ,Standard error,Number of sources,Upper CI,Lower CI ,African Development Bank CPIA,Bertelsmann Foundation Sustainable Governance Index,Bertelsmann Foundation Transformation Index,Economist Intelligence Unit Country Ratings,Freedom House Nations in Transit Ratings,Global Insight Country Risk Ratings,IMD World Competitiveness Yearbook,PERC Asia Risk Guide,PRS International Country Risk Guide,World Bank CPIA,World Economic Forum EOS,World Justice Project Rule of Law Index,Varieties of Democracy Project
Cambodia,KHM,AP,20,161,2.58,8,24,16,,,13,20,,22,,27,,18,33,14,12
Democratic Republic of the Congo,COD,SSA,20,161,2.13,8,23,17,32,,21,20,,22,,,15,18,22,,11
Haiti,HTI,AME,20,161,2.47,6,24,16,,,17,,,22,,,24,27,10,,18
Turkmenistan,TKM,ECA,20,161,1.22,5,22,18,,,21,20,21,22,,,,,,,15
Angola,AGO,SSA,19,165,1.31,6,21,17,,,17,20,,22,,,19,,14,,22
Chad,TCD,SSA,19,165,2.94,6,24,14,24,,21,,,22,,,,27,12,,9
Congo,COG,SSA,19,165,1.04,6,21,17,,,21,20,,22,,,15,18,,,20
Iraq,IRQ,MENA,18,168,2.63,5,22,14,,,25,20,,10,,,15,,,,22
Venezuela,VEN,AME,18,168,2.13,8,21,15,,,17,20,,10,23,,15,,10,19,28
Burundi,BDI,SSA,17,170,2.65,5,21,13,21,,21,,,22,,,,10,,,12
Libya,LBY,MENA,17,170,2.57,5,21,13,,,13,20,,10,,,15,,,,25
Afghanistan,AFG,AP,16,172,1.41,5,18,14,,,17,,,10,,,,18,,16,17
Equatorial Guinea,GNQ,SSA,16,172,2.82,3,21,11,,,,20,,10,,,,,,,17
Guinea Bissau,GNB,SSA,16,172,1.97,5,19,13,16,,,,,22,,,15,10,,,15
Sudan,SDN,SSA,16,172,2.51,7,20,12,14,,17,20,,22,,,6,10,,,25
"Korea, North",PRK,AP,14,176,1.39,4,16,12,,,13,,,10,,,15,,,,17
Yemen,YEM,MENA,14,176,1.45,7,16,12,,,17,20,,10,,,15,10,17,,12
South Sudan,SSD,SSA,13,178,1.86,5,16,10,9,,17,,,10,,,,10,,,17
Syria,SYR,MENA,13,178,1.92,5,16,10,,,9,20,,10,,,15,,,,13
Somalia,SOM,SSA,10,180,3.08,6,15,5,0,,9,,,22,,,6,10,,,14
