,Unnamed: 0,country,gdp_usd,population,CPI,rank,GI_risk,co2_mmt,gdp_capita,regulatory_quality,political_stability,accountability,rule_of_law,co2_mmt_capita,co2_kg_capita,GDP_Ag_and_Forest,petro_income,resource_income,co2_dollar,co2_kg_dollar,KOFGI
49,49,Germany,3649310000000.0,82392000.0,80,11,83,826.4019999999998,44292.1,1.81702,0.681363,1.36378,1.62202,1.003012428391106e-05,0.01003012428391106,0.666319,0.0081633,0.0584717,2.2645431602138486e-10,0.22645431602138485,86.8944244384766
50,50,Ghana,106867000000.0,28213000.0,41,78,35,13.4355,3787.86,-0.23251,-0.130929,0.5836060000000001,0.0487858,4.7621663772019997e-07,0.0004762166377201998,20.9769,1.06667,11.6513,1.2572169144824874e-10,0.12572169144824874,55.83280944824221
51,51,Greece,262440000000.0,10774000.0,45,67,47,68.2389,24358.5,0.148387,-0.121599,0.668495,0.107346,6.333664377204381e-06,0.0063336643772043824,3.57726,0.0109409,0.0872834,2.6001714677640603e-10,0.260017146776406,80.31309509277341
52,52,Grenada,1357040000.0,107320.0,52,53,47,0.284114,12644.8,0.084025,1.01893,0.817036,0.5689649999999999,2.647353708535221e-06,0.0026473537085352217,6.20639,0.0,0.0,2.0936302540824144e-10,0.20936302540824145,53.304840087890604
53,53,Guatemala,119582000000.0,16584100.0,27,144,22,16.7256,7210.64,-0.202432,-0.542593,-0.291889,-1.01984,1.008532268859932e-06,0.001008532268859932,10.0094,0.0770888,1.9967400000000002,1.3986720409426167e-10,0.13986720409426168,63.1695976257324
54,54,Guinea,23002100000.0,12423400.0,28,138,35,2.79777,1851.51,-0.867674,-0.393875,-0.761686,-1.21607,2.2520163562309843e-07,0.00022520163562309833,17.5899,0.0,21.0993,1.2163106846766165e-10,0.12163106846766165,45.0120506286621
55,55,Guyana,5494550000.0,772968.0,37,93,35,2.1348,7108.38,-0.416516,-0.0260627,0.253539,-0.309114,2.76182196416928e-06,0.0027618219641692802,15.2001,0.0,25.0626,3.8853045290333146e-10,0.3885304529033313,53.545528411865206
56,56,Honduras,39336500000.0,9112520.0,29,132,22,9.28918,4316.75,-0.5130279999999999,-0.433312,-0.439699,-1.1187,1.0193865143780206e-06,0.0010193865143780208,12.0499,0.0,2.16894,2.361465814192925e-10,0.2361465814192925,61.713077545165994
57,57,Hungary,248450000000.0,9809900.0,46,64,59,49.4891,25326.4,0.603422,0.654679,0.401252,0.423058,5.044811873719406e-06,0.005044811873719407,3.87207,0.06849889999999999,0.255659,1.9919138659690082e-10,0.1991913865969008,84.1970977783203
58,58,Iceland,15568300000.0,332840.0,76,14,83,3.23266,46774.1,1.27685,1.36162,1.35605,1.51954,9.712354284340823e-06,0.009712354284340823,4.59204,0.0,0.000250379,2.0764373759498463e-10,0.20764373759498467,70.6239013671875
59,59,India,7962030000000.0,1326110000.0,41,78,47,2154.76,6004.06,-0.306505,-0.95384,0.440187,-0.0288772,1.6248727481129018e-06,0.0016248727481129018,16.2498,0.235021,1.8376700000000001,2.7062947514641367e-10,0.2706294751464137,56.774929046630895
60,60,Indonesia,2754650000000.0,261461000.0,38,89,47,513.149,10535.6,-0.122344,-0.372952,0.166679,-0.34475100000000003,1.9626215764492603e-06,0.00196262157644926,13.4787,0.649637,3.05878,1.86284645962282e-10,0.186284645962282,62.0363655090332
61,61,Iraq,693340000000.0,37202600.0,18,168,10,120.478,18636.9,-1.12507,-2.31359,-1.01679,-1.62559,3.2384295721266788e-06,0.003238429572126679,3.8,31.1565,31.3419,1.7376467533966018e-10,0.17376467533966014,42.308910369873
62,62,Ireland,293455000000.0,4762600.0,73,18,71,37.5098,61616.7,1.74097,0.8478190000000001,1.29098,1.51724,7.875908117414857e-06,0.007875908117414857,0.9403969999999999,0.0,0.0997523,1.2782130139203623e-10,0.12782130139203626,83.5280227661133
63,63,Israel,275424000000.0,8194350.0,61,34,59,70.4422,33611.4,1.31263,-0.794536,0.7866029999999999,1.07218,8.596435348746392e-06,0.008596435348746392,1.20963,0.00145742,0.16675299999999998,2.5575912048332754e-10,0.25575912048332755,75.7312850952148
64,64,Italy,2039770000000.0,60618000.0,52,53,59,356.122,33649.7,0.710592,0.369415,1.03399,0.32916,5.874855653436272e-06,0.005874855653436273,1.88173,0.0242829,0.0494236,1.7458929192997249e-10,0.1745892919299725,82.15000915527341
65,65,Jamaica,23165100000.0,2880180.0,44,70,35,8.765130000000001,8042.94,0.16384300000000002,0.307684,0.681261,-0.20327,3.0432577130596e-06,0.0030432577130596,6.5971,0.0,1.2312299999999998,3.783765233044537e-10,0.3783765233044537,64.3552780151367
66,66,Japan,4740050000000.0,127716000.0,73,18,71,1202.52,37114.0,1.42812,0.982944,0.987905,1.42099,9.415578314385042e-06,0.009415578314385041,1.21108,0.00148938,0.025740199999999998,2.536935264395945e-10,0.2536935264395945,77.29978942871091
67,67,Jordan,77707300000.0,9369170.0,49,58,35,24.5321,8293.94,0.0516795,-0.492398,-0.713007,0.3043,2.618385620070935e-06,0.002618385620070935,5.2461400000000005,0.000678472,1.2016,3.156987824824695e-10,0.31569878248246946,74.3131790161133
68,68,Kazakhstan,408057000000.0,17955200.0,31,124,35,279.283,22726.4,-0.0997007,0.00845748,-1.20755,-0.4350890000000001,1.555443548387097e-05,0.01555443548387097,4.556,7.14542,12.3944,6.844215391477172e-10,0.6844215391477172,59.097530364990206
69,69,Kenya,138918000000.0,48487400.0,27,144,22,17.8866,2865.03,-0.30033000000000004,-1.35479,-0.115443,-0.4405520000000001,3.688917120736522e-07,0.00036889171207365215,31.0723,0.0,2.69254,1.287565326307606e-10,0.1287565326307606,55.4344825744629
70,71,Kuwait,268528000000.0,4009210.0,41,78,35,98.3647,66977.8,-0.073882,-0.0496832,-0.628963,0.0279303,2.4534683890342485e-05,0.024534683890342485,0.518517,31.6395,32.147,3.6631077578502055e-10,0.3663107757850205,69.2024765014648
71,72,Latvia,45772200000.0,1950120.0,58,41,59,8.41797,23471.5,1.08024,0.479069,0.84249,0.958983,4.316642052796751e-06,0.00431664205279675,3.20553,0.0,1.02146,1.8391010263871962e-10,0.1839101026387196,75.4191131591797
72,73,Lebanon,78065500000.0,5885140.0,28,138,22,23.26,13264.9,-0.343162,-1.61897,-0.520428,-0.8304969999999999,3.952327387283905e-06,0.003952327387283905,2.90483,0.0,0.00124701,2.979549224689524e-10,0.2979549224689524,65.1069717407227
73,74,Lesotho,6204920000.0,2204160.0,41,78,59,0.712526,2815.09,-0.38759,-0.236465,0.033744800000000005,-0.168291,3.232641913472706e-07,0.00032326419134727063,5.8687,0.0,6.341559999999999,1.1483242330279841e-10,0.11483242330279846,51.4799385070801
74,75,Liberia,5308960000.0,4620470.0,32,120,22,1.1645299999999998,1149.01,-0.948493,-0.437408,-0.107508,-0.945159,2.520371304217969e-07,0.00025203713042179694,37.2422,0.0,23.6958,2.193518127844248e-10,0.2193518127844248,53.1868553161621
75,76,Lithuania,78404100000.0,2847900.0,59,38,59,13.9695,27530.5,1.13622,0.8282799999999999,0.99997,1.02936,4.905193300326557e-06,0.004905193300326557,3.0773900000000003,0.0206936,0.37616700000000003,1.7817308023432446e-10,0.1781730802343245,78.7786407470703
76,77,Luxembourg,53497500000.0,580210.0,81,9,83,10.1962,92203.7,1.7220799999999998,1.41948,1.50021,1.76036,1.7573292428603436e-05,0.017573292428603438,0.224068,0.0,0.012339200000000002,1.905920837422309e-10,0.19059208374223094,82.0016860961914
77,78,Madagascar,33506800000.0,24925400.0,25,152,35,3.84001,1344.28,-0.689742,-0.290095,-0.313077,-0.813404,1.5406011538430677e-07,0.00015406011538430676,21.4354,0.0709629,11.3137,1.1460390129764704e-10,0.11460390129764705,46.7839241027832
78,79,Malawi,19205900000.0,18115600.0,32,120,47,1.05403,1060.19,-0.844849,-0.113479,-0.0307756,-0.375331,5.818355450550907e-08,5.818355450550907e-05,25.927,0.0,11.0401,5.488053150334011e-11,0.054880531503340116,46.2368278503418
79,80,Malaysia,784953000000.0,31237900.0,47,61,47,215.716,25128.2,0.711795,0.136825,-0.418371,0.499149,6.905585842838347e-06,0.006905585842838346,8.65364,1.70721,5.51005,2.7481390605552183e-10,0.2748139060555218,79.2790451049805
80,81,Maldives,5970570000.0,364000.0,31,124,35,1.65195,16402.7,-0.457905,0.420993,-0.733073,-0.407596,4.538324175824176e-06,0.004538324175824175,5.63056,0.0,0.00651237,2.7668212582718234e-10,0.2766821258271823,50.651615142822294
81,82,Mali,44354500000.0,18031200.0,32,120,35,3.38734,2459.88,-0.590875,-1.61723,-0.183506,-0.782162,1.8785993167398727e-07,0.00018785993167398733,38.3677,0.0,12.3975,7.636970318682432e-11,0.07636970318682433,50.2632713317871
82,83,Malta,16363000000.0,460297.0,54,51,59,7.821639999999999,35548.8,1.15679,1.08044,1.19631,0.997759,1.6992593912191477e-05,0.016992593912191475,1.21771,0.0,0.0,4.780077002994561e-10,0.4780077002994561,77.5127487182617
83,84,Mauritania,15050300000.0,4302630.0,27,144,35,2.61943,3497.93,-0.743002,-0.7469680000000001,-0.775239,-0.726432,6.087974099562361e-07,0.0006087974099562363,23.9902,0.574156,20.840999999999998,1.7404503564712996e-10,0.17404503564712995,51.101844787597706
84,85,Mauritius,24246200000.0,1262390.0,51,56,59,6.0273900000000005,19206.6,1.02976,1.01319,0.8190390000000001,0.751672,4.774586300588567e-06,0.004774586300588565,3.1879299999999997,0.0,0.00358581,2.485911194331483e-10,0.2485911194331483,69.5999374389648
85,86,Mexico,2145030000000.0,127740000.0,28,138,22,452.581,16792.2,0.287122,-0.629069,-0.069213,-0.556211,3.542985752309378e-06,0.003542985752309379,3.34955,1.22232,2.27688,2.109905222770777e-10,0.21099052227707768,70.4628067016602
86,87,Moldova,20239900000.0,3553100.0,33,117,47,7.607939999999998,5696.41,-0.114886,-0.30356,-0.0212144,-0.494989,2.14121189946807e-06,0.00214121189946807,11.3987,0.0106009,0.33868200000000004,3.758882207916047e-10,0.3758882207916047,66.9958343505859
87,88,Mongolia,33944700000.0,3023380.0,37,93,47,16.7791,11227.4,-0.0763125,0.797793,0.331928,-0.220197,5.549782032030376e-06,0.005549782032030375,11.6894,1.50769,25.1767,4.943069168382694e-10,0.4943069168382693,64.0908966064453
88,89,Montenegro,9459120000.0,628422.0,45,67,47,2.21769,15052.2,0.224433,0.276631,0.0759906,-0.00568145,3.528982117112387e-06,0.0035289821171123866,7.46824,0.0,1.02552,2.344499276888336e-10,0.23444992768883366,69.032096862793
89,90,Morocco,255334000000.0,35256800.0,43,73,35,52.8825,7242.12,-0.23495,-0.312573,-0.626316,-0.158313,1.499923419028386e-06,0.001499923419028386,11.993,0.00734429,2.21155,2.0711107803896073e-10,0.20711107803896076,67.0068283081055
90,91,Mozambique,31836300000.0,28870400.0,23,158,22,9.66452,1102.73,-0.7045600000000001,-1.094,-0.4182520000000001,-1.05131,3.347553203280869e-07,0.00033475532032808687,22.618000000000002,0.07188639999999999,17.5869,3.035691961691528e-10,0.3035691961691528,48.2142562866211
91,92,Myanmar,274870000000.0,52884600.0,29,132,22,27.0065,5197.54,-0.868316,-0.80462,-0.797783,-0.886977,5.106685121944763e-07,0.0005106685121944763,25.4685,0.140039,6.7668,9.82519008986066e-11,0.0982519008986066,39.8046455383301
92,93,Namibia,23848200000.0,2479760.0,53,52,59,3.85431,9617.14,-0.135936,0.71009,0.5822149999999999,0.362666,1.5543076749362842e-06,0.0015543076749362842,6.10992,0.0,4.08419,1.6161848692983117e-10,0.16161848692983116,58.874416351318395
93,94,Nepal,66244500000.0,28977100.0,31,124,35,6.182930000000002,2286.1,-0.764532,-0.8468120000000001,-0.252871,-0.795469,2.133729738310597e-07,0.00021337297383105966,29.1492,0.0,1.3040200000000002,9.333499384854592e-11,0.09333499384854592,45.5896606445312
94,95,Netherlands,800064000000.0,17043100.0,82,8,83,248.652,46943.6,1.97617,0.912268,1.54028,1.89441,1.4589599309984686e-05,0.014589599309984684,1.76653,0.0147969,0.28736999999999996,3.107901367890569e-10,0.3107901367890569,90.2375335693359
95,96,New Zealand,163069000000.0,4659580.0,87,2,83,37.5117,34996.5,2.03828,1.51918,1.53241,1.95447,8.050446606775717e-06,0.008050446606775721,6.56941,0.132359,1.0112299999999999,2.3003575173699484e-10,0.23003575173699475,78.0020446777344
96,97,Nicaragua,30907500000.0,6148940.0,25,152,22,5.39717,5026.48,-0.5067050000000001,-0.0887977,-0.681534,-0.644227,8.777399031377766e-07,0.0008777399031377768,14.9153,0.0,3.6466,1.7462331149397398e-10,0.17462331149397395,60.678615570068395
97,98,Niger,18585200000.0,20732500.0,34,114,35,2.24872,896.428,-0.671357,-1.10331,-0.422797,-0.661077,1.0846352345351503e-07,0.00010846352345351504,38.7842,1.32865,13.4238,1.2099520048210404e-10,0.12099520048210405,48.348751068115206
98,99,Nigeria,990122000000.0,186176000.0,27,144,22,97.1037,5318.2,-0.918893,-1.87771,-0.320183,-1.01725,5.215693752148504e-07,0.0005215693752148506,20.9831,2.80315,4.85953,9.807245975748444e-11,0.09807245975748444,54.930335998535206
99,100,Norway,332520000000.0,5240470.0,84,7,83,43.2387,63452.3,1.69796,1.20007,1.66425,2.03633,8.250920241886701e-06,0.008250920241886702,2.07813,2.68045,4.12916,1.300333814507398e-10,0.1300333814507398,85.81146240234379
100,101,Oman,166236000000.0,4389790.0,52,53,47,68.4576,37868.8,0.610466,0.760053,-1.05441,0.407917,1.5594732322047296e-05,0.015594732322047297,2.26193,18.1573,19.6681,4.118097163069371e-10,0.4118097163069371,63.119480133056605
101,102,Pakistan,896298000000.0,193177000.0,33,117,35,175.707,4639.78,-0.639584,-2.48317,-0.700991,-0.8043779999999999,9.095648032633284e-07,0.0009095648032633283,23.2152,0.22239499999999998,0.931522,1.9603636290608703e-10,0.19603636290608706,51.700382232665994
102,103,Panama,83118400000.0,4033260.0,37,93,35,25.4585,20608.2,0.360629,0.41143,0.523939,0.0495611,6.312139559562239e-06,0.00631213955956224,2.6019,0.0,0.208337,3.062919882962136e-10,0.3062919882962136,69.8917770385742
103,104,Papua New Guinea,25287200000.0,8087000.0,28,138,22,6.097,3126.9,-0.55599,-0.504772,0.15724200000000002,-0.776429,7.539260541609992e-07,0.0007539260541609992,17.8665,2.11856,22.3526,2.4111012686260244e-10,0.24111012686260244,53.6831741333008
