country,Source,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,
Bolivia (Plurinational State of),CTS,,,,,, 	478 , 	482 , 	770 , 	828 , 	819 ," 	1,273 "," 	1,236 "," 	1,221 ", 	932 , 	942 , 	671 , 	686 ,
Brazil,MD Adjusted/NGO," 	41,595 "," 	43,975 "," 	45,585 "," 	46,828 "," 	44,379 "," 	43,645 "," 	45,086 "," 	44,625 "," 	45,885 "," 	44,518 "," 	43,272 "," 	48,084 "," 	53,054 "," 	54,163 "," 	57,091 "," 	58,459 "," 	61,283 ",
Chile,CTS/OAS,,,, 	513 ,, 	576 , 	590 , 	616 , 	588 , 	630 , 	541 , 	636 , 	434 , 	556 , 	638 , 	534 , 	620 ,
Colombia,UNSDC/OAS/CTS," 	26,539 "," 	27,840 "," 	28,387 "," 	23,523 "," 	20,210 "," 	18,111 "," 	17,479 "," 	17,198 "," 	16,140 "," 	15,817 "," 	15,459 "," 	16,127 "," 	16,440 "," 	15,419 "," 	13,343 "," 	12,782 "," 	12,402 ",
Ecuador,OAS/CTS," 	1,833 "," 	1,658 "," 	1,906 "," 	1,937 "," 	2,390 "," 	2,121 "," 	2,385 "," 	2,273 "," 	2,607 "," 	2,625 "," 	2,623 "," 	2,344 "," 	1,923 "," 	1,725 "," 	1,311 "," 	1,055 ", 	959 ,
French Guiana,NP,,,,, 	58 , 	45 , 	42 , 	28 , 	32 , 	30 ,,,,,,,,
Guyana,OAS/CTS/NSO, 	76 , 	80 , 	143 , 	209 , 	131 , 	142 , 	153 , 	115 , 	158 , 	117 , 	140 , 	130 , 	139 , 	155 , 	149 , 	149 , 	142 ,
Paraguay,OAS/CTS, 	995 ," 	1,314 "," 	1,372 "," 	1,285 "," 	1,209 ", 	887 , 	742 , 	783 , 	833 , 	821 , 	741 , 	657 , 	649 , 	604 , 	578 , 	617 ,,
Peru,CTS,,,,,,,,,,,," 	1,617 "," 	1,968 "," 	2,013 "," 	2,076 "," 	2,247 "," 	2,435 ",
Suriname,OAS, 	68 , 	79 , 	57 , 	60 , 	46 , 	69 , 	62 , 	45 , 	43 ,,,,,,,,,
Uruguay,MOI/CTS, 	214 , 	218 , 	231 , 	197 , 	200 , 	190 , 	202 , 	194 , 	221 , 	226 , 	205 , 	199 , 	267 , 	260 , 	268 , 	293 , 	265 ,
Venezuela (Bolivarian Republic of),UNSDC/NGO/OAS/AG," 	8,022 "," 	7,960 "," 	9,617 "," 	11,342 "," 	9,719 "," 	9,964 "," 	12,257 "," 	13,156 "," 	14,589 "," 	13,985 "," 	13,080 "," 	14,098 "," 	16,072 ",," 	19,030 ",," 	17,778 ",
Kazakhstan*,TSMNEE/CTS," 	2,325 "," 	2,160 "," 	1,967 "," 	1,991 "," 	2,091 ",,,," 	1,807 "," 	1,771 "," 	1,387 "," 	1,420 "," 	1,266 "," 	1,120 ", 	904 , 	853 ,,
Kyrgyzstan,UNECE/CTS, 	430 , 	386 , 	411 , 	421 , 	420 , 	419 , 	422 , 	426 , 	429 , 	419 ," 	1,072 ", 	494 , 	301 , 	206 , 	216 , 	304 , 	267 ,
Tajikistan,TSMNEE/CTS, 	283 , 	233 , 	180 , 	164 , 	142 , 	157 , 	194 , 	132 , 	100 , 	97 , 	181 , 	126 ,,,,,,
Turkmenistan,TSMNEE, 	267 , 	248 , 	241 , 	233 , 	209 , 	206 , 	203 ,,,,,,,,,,,
Uzbekistan,TSMNEE/NSO," 	1,068 "," 	1,081 "," 	1,058 ", 	963 , 	962 , 	910 , 	861 , 	815 , 	831 ,,,,,,,,,
China,NSO Adjusted/NSO," 	26,858 "," 	25,939 "," 	26,276 "," 	24,393 "," 	24,711 "," 	20,770 "," 	17,973 "," 	16,119 "," 	14,811 "," 	14,667 "," 	13,410 "," 	12,015 "," 	11,286 "," 	10,640 "," 	10,083 "," 	9,200 "," 	8,634 ",
"China, Hong Kong Special Administrative Region",UNSDC/NP/CTS, 	38 , 	66 , 	69 , 	52 , 	45 , 	34 , 	35 , 	18 , 	36 , 	47 , 	35 , 	17 , 	27 , 	62 , 	27 , 	22 , 	28 ,
"China, Macao Special Administrative Region",NP/CTS, 	10 , 	8 , 	2 , 	8 , 	4 , 	4 , 	10 , 	6 , 	4 , 	6 , 	2 , 	4 , 	4 , 	1 , 	-   , 	1 , 	1 ,
"China, Taiwan Province of China",SDG,, 	306 ,,,,, 	228 , 	176 , 	191 , 	181 , 	179 ,, 	179 , 	168 ,, 	192 ,,
Democratic People's Republic of Korea###,WHO Estimate," 	1,521 ",,,,," 	1,206 ",,,,," 	1,179 ",,,,," 	1,110 ",,
Japan,SDG/CTS, 	678 , 	697 , 	662 , 	697 , 	699 , 	643 , 	619 , 	574 , 	654 , 	506 , 	465 , 	442 , 	429 , 	370 , 	395 , 	363 , 	362 ,
Mongolia,CTS,,,, 	343 , 	333 , 	398 , 	336 , 	293 , 	212 , 	219 , 	239 , 	266 , 	199 , 	205 , 	213 , 	184 , 	171 ,
Republic of Korea,UNSDC/NP/CTS,,,,,,,,,,,, 	427 , 	411 , 	342 , 	372 , 	365 , 	356 ,
Brunei Darussalam,WHO/MD, 	4 ,,, 	3 , 	2 , 	2 , 	3 , 	3 , 	1 , 	3 , 	1 , 	1 , 	4 , 	2 ,,,,
Cambodia,JP/WHO, 	571 , 	407 , 	425 , 	509 , 	511 , 	448 , 	400 , 	393 , 	333 , 	331 , 	331 , 	268 ,,,,,,
Indonesia,UNSDC/INTP/CTS," 	2,204 ",,," 	1,635 "," 	1,419 ",,,," 	1,372 "," 	1,311 "," 	1,058 "," 	1,467 "," 	1,456 "," 	1,386 "," 	1,277 "," 	1,491 "," 	1,292 ",
Lao People's Democratic Republic,WHO Estimate, 	572 ,,,,, 	553 ,,,,, 	502 ,,,,, 	467 ,,
Malaysia,UNSDC/WHO/NP, 	551 , 	517 , 	565 , 	565 , 	497 , 	604 , 	588 , 	652 , 	597 , 	561 , 	540 , 	530 , 	602 , 	627 ,,,,
Myanmar,NSO/CTS," 	1,041 ", 	916 , 	814 , 	764 , 	743 , 	676 , 	777 , 	749 , 	791 , 	879 , 	801 ," 	1,055 "," 	1,436 "," 	1,238 "," 	1,230 "," 	1,152 "," 	1,198 ",
Philippines*,UNSDC/CTS/NSO," 	5,735 "," 	5,852 "," 	6,553 "," 	6,436 "," 	6,344 "," 	6,434 "," 	6,200 "," 	5,962 "," 	5,820 "," 	9,088 "," 	8,897 "," 	8,674 "," 	8,484 "," 	9,153 "," 	9,756 "," 	9,643 "," 	11,385 ",
Singapore,UNSDC/NP/CTS, 	37 , 	30 , 	22 , 	24 , 	21 , 	21 , 	17 , 	18 , 	27 , 	20 , 	19 , 	16 , 	11 , 	17 , 	14 , 	14 , 	18 ,
