"International_data"
"https://www.eia.gov/beta/international/data/browser/#/?pa=0000000000000000000000000000000000000000000000000000000f&c=ruvvvvvfvtvnvv1vrvvvvfvvvvvvfvvvou20evvvvvvvvvvvvuvs&ct=0&tl_id=40-A&vs=INTL.4008-8-AFG-MMTCD.A&cy=2015&vo=0&v=H&start=2015&end=2016&showdm=y"
"Tue Oct 15 2019 17:17:10 GMT-0400 (Eastern Daylight Time)"
"Source: U.S. Energy Information Administration"
,,,2015,2016
"","Emissions","MMtons CO2"
"","Emissions",""
"","CO2 Emissions",""
"","CO2 Emissions",""
"","Tajikistan","MMtons CO2",5.021534534,5.440524346
"","Tanzania","MMtons CO2",12.902938252,14.473595189
"","Thailand","MMtons CO2",338.458636894,342.33855183
"","The Bahamas","MMtons CO2",2.948898546,3.094118336
"","Timor-Leste","MMtons CO2",0.527450155,0.531910064
"","Togo","MMtons CO2",2.455983827,2.58506354
"","Tonga","MMtons CO2",0.140950708,0.139654834
"","Trinidad and Tobago","MMtons CO2",54.262425631,49.319426481
"","Tunisia","MMtons CO2",23.325422105,22.869615584
"","Turkey","MMtons CO2",351.891854878,366.083909186
"","Turkmenistan","MMtons CO2",102.089729471,98.959239476
"","Turks and Caicos Islands","MMtons CO2",0.212972677,0.221452042
"","Tuvalu","MMtons CO2",-,-
"","U.S. Pacific Islands","MMtons CO2",0.302227876,0.294382626
"","U.S. Territories","MMtons CO2",-,-
"","U.S. Virgin Islands","MMtons CO2",2.928070812,2.459005452
"","Uganda","MMtons CO2",4.622848489,4.710814265
"","Ukraine","MMtons CO2",215.960195837,223.956971721
"","United Arab Emirates","MMtons CO2",285.56302973,288.875809304
"","United Kingdom","MMtons CO2",458.956145584,480.680495215
"","United States","MMtons CO2",5264.776,5172.402
"","Uruguay","MMtons CO2",7.581877626,7.519395113
"","Uzbekistan","MMtons CO2",107.453899238,92.948991239
"","Vanuatu","MMtons CO2",0.160438113,0.164924114
"","Venezuela","MMtons CO2",179.192586202,130.15461283
"","Vietnam","MMtons CO2",194.746384224,218.766587958
"","Wake Island","MMtons CO2",1.367636052,1.371383
"","Western Sahara","MMtons CO2",0.2684852,0.269014257
"","Yemen","MMtons CO2",17.841133016,8.887855262
"","Zambia","MMtons CO2",3.746348391,3.622226086
"","Zimbabwe","MMtons CO2",11.594936326,10.480809616
"","Coal and Coke",""
"","Afghanistan","MMtons CO2",2.6533027869791,3.3005920383081
"","Albania","MMtons CO2",0.30889394065761,0.24143854109673
"","Algeria","MMtons CO2",0.74817035613508,0.39625362043311
"","American Samoa","MMtons CO2",0,-
"","Angola","MMtons CO2",0,-
"","Antarctica","MMtons CO2",0,-
"","Antigua and Barbuda","MMtons CO2",0,-
"","Argentina","MMtons CO2",4.2155894536854,3.3723268890501
"","Armenia","MMtons CO2",0.0026552344168885,0.0027371727722933
"","Aruba","MMtons CO2",0,-
"","Australia","MMtons CO2",172.46051770338,174.70306692409
"","Austria","MMtons CO2",12.91703935232,11.928782856376
"","Azerbaijan","MMtons CO2",0.00041017820834788,0.00041017820834788
"","Bahrain","MMtons CO2",0,-
"","Bangladesh","MMtons CO2",3.7164865910287,4.0381491758024
"","Barbados","MMtons CO2",0,-
"","Belarus","MMtons CO2",1.6733279858577,1.5419909238175
"","Belgium","MMtons CO2",10.259356154387,9.6388057518099
"","Belize","MMtons CO2",0,-
"","Benin","MMtons CO2",0.096837116193672,0.18527058534695
